node_type	family	status	fixture	notes	debt_class	approval	next_action
*nodes.StorageClause	clause	deferred		Loc-bearing AST node classified; fixture expansion deferred	loc_fixture_deferred	oracle-parser-strict-audit-2026-04-28	add_direct_fixture_or_reclassify_node_support
*nodes.IndexColumn	ast	covered	CREATE INDEX idx ON t(a DESC)	direct parser fixture added by strict Loc audit	none	covered	keep_regression_guard
*nodes.LockTableItem	ast	covered	LOCK TABLE t IN EXCLUSIVE MODE	direct parser fixture added by strict Loc audit	none	covered	keep_regression_guard
*nodes.InlineExternalTable	ast	deferred		Loc-bearing AST node classified; fixture expansion deferred	loc_fixture_deferred	oracle-parser-strict-audit-2026-04-28	add_direct_fixture_or_reclassify_node_support
*nodes.TableCollectionExpr	expression	deferred		Loc-bearing AST node classified; fixture expansion deferred	loc_fixture_deferred	oracle-parser-strict-audit-2026-04-28	add_direct_fixture_or_reclassify_node_support
*nodes.JsonTableRef	ast	covered	SELECT * FROM JSON_TABLE(doc, '$' COLUMNS (id NUMBER PATH '$.id')) jt	direct parser fixture added by strict Loc audit	none	covered	keep_regression_guard
*nodes.JsonTableColumn	ast	covered	SELECT * FROM JSON_TABLE(doc, '$' COLUMNS (id NUMBER PATH '$.id')) jt	direct parser fixture added by strict Loc audit	none	covered	keep_regression_guard
*nodes.XmlTableRef	ast	covered	SELECT * FROM XMLTABLE('/r' PASSING x COLUMNS id NUMBER PATH 'id') xt	direct parser fixture added by strict Loc audit	none	covered	keep_regression_guard
*nodes.XmlTableColumn	ast	covered	SELECT * FROM XMLTABLE('/r' PASSING x COLUMNS id NUMBER PATH 'id') xt	direct parser fixture added by strict Loc audit	none	covered	keep_regression_guard
*nodes.Parameter	ast	covered	CREATE PROCEDURE p(x IN NUMBER) IS BEGIN NULL; END;	direct parser fixture added by strict Loc audit	none	covered	keep_regression_guard
*nodes.IdentityClause	clause	covered	CREATE TABLE t (id NUMBER GENERATED ALWAYS AS IDENTITY)	direct parser fixture added by strict Loc audit	none	covered	keep_regression_guard
*nodes.IdentifiedClause	clause	covered	CREATE USER u IDENTIFIED BY p	direct parser fixture added by strict Loc audit	none	covered	keep_regression_guard
*nodes.DefaultRoleClause	clause	deferred		direct fixture attempted in strict audit but parser AST shape does not currently produce this node	loc_fixture_deferred	oracle-parser-strict-audit-2026-04-28	add_direct_fixture_or_reclassify_node_support
*nodes.UserQuotaClause	clause	covered	CREATE USER u IDENTIFIED BY p QUOTA 1M ON users	direct parser fixture added by strict Loc audit	none	covered	keep_regression_guard
*nodes.ProfileLimit	ast	covered	CREATE PROFILE p LIMIT SESSIONS_PER_USER 1	direct parser fixture added by strict Loc audit	none	covered	keep_regression_guard
*nodes.ResourceCostEntry	ast	deferred		Loc-bearing AST node classified; fixture expansion deferred	loc_fixture_deferred	oracle-parser-strict-audit-2026-04-28	add_direct_fixture_or_reclassify_node_support
*nodes.DDLOption	ast	deferred		Loc-bearing AST node classified; fixture expansion deferred	loc_fixture_deferred	oracle-parser-strict-audit-2026-04-28	add_direct_fixture_or_reclassify_node_support
*nodes.DatafileClause	clause	covered	CREATE TABLESPACE ts DATAFILE 'x.dbf' SIZE 1M	direct parser fixture added by strict Loc audit	none	covered	keep_regression_guard
*nodes.AutoextendClause	clause	covered	CREATE TABLESPACE ts DATAFILE 'x.dbf' SIZE 1M AUTOEXTEND ON	direct parser fixture added by strict Loc audit	none	covered	keep_regression_guard
*nodes.SetParam	ast	covered	ALTER SESSION SET NLS_DATE_FORMAT = 'YYYY'	direct parser fixture added by strict Loc audit	none	covered	keep_regression_guard
*nodes.KeepClause	clause	covered	SELECT MAX(a) KEEP (DENSE_RANK LAST ORDER BY b) FROM t	direct parser fixture added by strict Loc audit	none	covered	keep_regression_guard
*nodes.ClusterColumn	ast	deferred		Loc-bearing AST node classified; fixture expansion deferred	loc_fixture_deferred	oracle-parser-strict-audit-2026-04-28	add_direct_fixture_or_reclassify_node_support
*nodes.GraphTableDef	clause	deferred		Loc-bearing AST node classified; fixture expansion deferred	loc_fixture_deferred	oracle-parser-strict-audit-2026-04-28	add_direct_fixture_or_reclassify_node_support
*nodes.GraphEdgeDef	clause	deferred		Loc-bearing AST node classified; fixture expansion deferred	loc_fixture_deferred	oracle-parser-strict-audit-2026-04-28	add_direct_fixture_or_reclassify_node_support
*nodes.GraphOptions	ast	deferred		Loc-bearing AST node classified; fixture expansion deferred	loc_fixture_deferred	oracle-parser-strict-audit-2026-04-28	add_direct_fixture_or_reclassify_node_support
*nodes.DomainColumn	ast	deferred		Loc-bearing AST node classified; fixture expansion deferred	loc_fixture_deferred	oracle-parser-strict-audit-2026-04-28	add_direct_fixture_or_reclassify_node_support
*nodes.DomainConstraint	clause	deferred		Loc-bearing AST node classified; fixture expansion deferred	loc_fixture_deferred	oracle-parser-strict-audit-2026-04-28	add_direct_fixture_or_reclassify_node_support
*nodes.DomainEnumItem	ast	deferred		Loc-bearing AST node classified; fixture expansion deferred	loc_fixture_deferred	oracle-parser-strict-audit-2026-04-28	add_direct_fixture_or_reclassify_node_support
*nodes.OperatorBinding	ast	deferred		Loc-bearing AST node classified; fixture expansion deferred	loc_fixture_deferred	oracle-parser-strict-audit-2026-04-28	add_direct_fixture_or_reclassify_node_support
*nodes.IndextypeOp	ast	deferred		Loc-bearing AST node classified; fixture expansion deferred	loc_fixture_deferred	oracle-parser-strict-audit-2026-04-28	add_direct_fixture_or_reclassify_node_support
*nodes.IndextypeModOp	ast	deferred		Loc-bearing AST node classified; fixture expansion deferred	loc_fixture_deferred	oracle-parser-strict-audit-2026-04-28	add_direct_fixture_or_reclassify_node_support
*nodes.DimensionLevel	ast	deferred		Loc-bearing AST node classified; fixture expansion deferred	loc_fixture_deferred	oracle-parser-strict-audit-2026-04-28	add_direct_fixture_or_reclassify_node_support
*nodes.DimensionHierarchy	ast	deferred		Loc-bearing AST node classified; fixture expansion deferred	loc_fixture_deferred	oracle-parser-strict-audit-2026-04-28	add_direct_fixture_or_reclassify_node_support
*nodes.DimensionAttribute	ast	deferred		Loc-bearing AST node classified; fixture expansion deferred	loc_fixture_deferred	oracle-parser-strict-audit-2026-04-28	add_direct_fixture_or_reclassify_node_support
*nodes.DimensionJoinKey	ast	deferred		Loc-bearing AST node classified; fixture expansion deferred	loc_fixture_deferred	oracle-parser-strict-audit-2026-04-28	add_direct_fixture_or_reclassify_node_support
*nodes.AuditActionEntry	ast	deferred		Loc-bearing AST node classified; fixture expansion deferred	loc_fixture_deferred	oracle-parser-strict-audit-2026-04-28	add_direct_fixture_or_reclassify_node_support
*nodes.AuditComponentAction	ast	deferred		Loc-bearing AST node classified; fixture expansion deferred	loc_fixture_deferred	oracle-parser-strict-audit-2026-04-28	add_direct_fixture_or_reclassify_node_support
*nodes.JoinGroupMember	ast	deferred		Loc-bearing AST node classified; fixture expansion deferred	loc_fixture_deferred	oracle-parser-strict-audit-2026-04-28	add_direct_fixture_or_reclassify_node_support
*nodes.TypeAttribute	ast	deferred		direct fixture attempted in strict audit but parser AST shape does not currently produce this node	loc_fixture_deferred	oracle-parser-strict-audit-2026-04-28	add_direct_fixture_or_reclassify_node_support
*nodes.TypeBodyMember	ast	covered	CREATE TYPE BODY typ AS MEMBER FUNCTION f RETURN NUMBER IS BEGIN RETURN 1; END; END;	direct parser fixture added by strict Loc audit	none	covered	keep_regression_guard
*nodes.AttrDimSourceClause	clause	deferred		Loc-bearing AST node classified; fixture expansion deferred	loc_fixture_deferred	oracle-parser-strict-audit-2026-04-28	add_direct_fixture_or_reclassify_node_support
*nodes.AttrDimAttribute	ast	deferred		Loc-bearing AST node classified; fixture expansion deferred	loc_fixture_deferred	oracle-parser-strict-audit-2026-04-28	add_direct_fixture_or_reclassify_node_support
*nodes.AttrDimLevel	ast	deferred		Loc-bearing AST node classified; fixture expansion deferred	loc_fixture_deferred	oracle-parser-strict-audit-2026-04-28	add_direct_fixture_or_reclassify_node_support
*nodes.AttrDimOrderByItem	ast	deferred		Loc-bearing AST node classified; fixture expansion deferred	loc_fixture_deferred	oracle-parser-strict-audit-2026-04-28	add_direct_fixture_or_reclassify_node_support
*nodes.AttrDimAllClause	clause	deferred		Loc-bearing AST node classified; fixture expansion deferred	loc_fixture_deferred	oracle-parser-strict-audit-2026-04-28	add_direct_fixture_or_reclassify_node_support
*nodes.AttrDimJoinCondElem	ast	deferred		Loc-bearing AST node classified; fixture expansion deferred	loc_fixture_deferred	oracle-parser-strict-audit-2026-04-28	add_direct_fixture_or_reclassify_node_support
*nodes.HierAttr	ast	deferred		Loc-bearing AST node classified; fixture expansion deferred	loc_fixture_deferred	oracle-parser-strict-audit-2026-04-28	add_direct_fixture_or_reclassify_node_support
*nodes.HierLevelClause	clause	deferred		Loc-bearing AST node classified; fixture expansion deferred	loc_fixture_deferred	oracle-parser-strict-audit-2026-04-28	add_direct_fixture_or_reclassify_node_support
*nodes.PLSQLBlock	plsql	covered	BEGIN NULL; END;	PL/SQL block span	none	covered	keep_regression_guard
*nodes.PLSQLVarDecl	plsql	covered	DECLARE x NUMBER; BEGIN NULL; END;	direct parser fixture added by strict Loc audit	none	covered	keep_regression_guard
*nodes.PLSQLCursorDecl	plsql	covered	DECLARE CURSOR c IS SELECT 1 FROM dual; BEGIN NULL; END;	direct parser fixture added by strict Loc audit	none	covered	keep_regression_guard
*nodes.PLSQLTypeDecl	plsql	covered	DECLARE TYPE nt IS TABLE OF NUMBER; BEGIN NULL; END;	direct parser fixture added by strict Loc audit	none	covered	keep_regression_guard
*nodes.PLSQLAssign	plsql	covered	BEGIN x := 1; END;	direct parser fixture added by strict Loc audit	none	covered	keep_regression_guard
*nodes.PLSQLIf	plsql	covered	BEGIN IF 1 = 1 THEN NULL; END IF; END;	direct parser fixture added by strict Loc audit	none	covered	keep_regression_guard
*nodes.PLSQLElsIf	plsql	covered	BEGIN IF 1 = 0 THEN NULL; ELSIF 1 = 1 THEN NULL; END IF; END;	direct parser fixture added by strict Loc audit	none	covered	keep_regression_guard
*nodes.PLSQLCase	plsql	deferred		Loc-bearing AST node classified; fixture expansion deferred	loc_fixture_deferred	oracle-parser-strict-audit-2026-04-28	add_direct_fixture_or_reclassify_node_support
*nodes.PLSQLWhen	plsql	deferred		Loc-bearing AST node classified; fixture expansion deferred	loc_fixture_deferred	oracle-parser-strict-audit-2026-04-28	add_direct_fixture_or_reclassify_node_support
*nodes.PLSQLLoop	plsql	covered	BEGIN LOOP EXIT; END LOOP; END;	direct parser fixture added by strict Loc audit	none	covered	keep_regression_guard
*nodes.PLSQLForall	plsql	deferred		Loc-bearing AST node classified; fixture expansion deferred	loc_fixture_deferred	oracle-parser-strict-audit-2026-04-28	add_direct_fixture_or_reclassify_node_support
*nodes.PLSQLReturn	plsql	covered	CREATE FUNCTION f RETURN NUMBER IS BEGIN RETURN 1; END;	direct parser fixture added by strict Loc audit	none	covered	keep_regression_guard
*nodes.PLSQLCall	plsql	covered	BEGIN p(); END;	direct parser fixture added by strict Loc audit	none	covered	keep_regression_guard
*nodes.PLSQLRaise	plsql	covered	BEGIN RAISE; END;	direct parser fixture added by strict Loc audit	none	covered	keep_regression_guard
*nodes.PLSQLExit	plsql	covered	BEGIN LOOP EXIT; END LOOP; END;	direct parser fixture added by strict Loc audit	none	covered	keep_regression_guard
*nodes.PLSQLContinue	plsql	covered	BEGIN LOOP CONTINUE; END LOOP; END;	direct parser fixture added by strict Loc audit	none	covered	keep_regression_guard
*nodes.PLSQLGoto	plsql	deferred		direct fixture attempted in strict audit but parser AST shape does not currently produce this node	loc_fixture_deferred	oracle-parser-strict-audit-2026-04-28	add_direct_fixture_or_reclassify_node_support
*nodes.PLSQLNull	plsql	covered	BEGIN NULL; END;	PL/SQL null statement span	none	covered	keep_regression_guard
*nodes.PLSQLOpen	plsql	covered	DECLARE CURSOR c IS SELECT 1 FROM dual; BEGIN OPEN c; END;	direct parser fixture added by strict Loc audit	none	covered	keep_regression_guard
*nodes.PLSQLFetch	plsql	covered	DECLARE CURSOR c IS SELECT 1 FROM dual; x NUMBER; BEGIN OPEN c; FETCH c INTO x; END;	direct parser fixture added by strict Loc audit	none	covered	keep_regression_guard
*nodes.PLSQLClose	plsql	covered	DECLARE CURSOR c IS SELECT 1 FROM dual; BEGIN OPEN c; CLOSE c; END;	direct parser fixture added by strict Loc audit	none	covered	keep_regression_guard
*nodes.PLSQLExecImmediate	plsql	covered	BEGIN EXECUTE IMMEDIATE 'SELECT 1 FROM dual'; END;	direct parser fixture added by strict Loc audit	none	covered	keep_regression_guard
*nodes.PLSQLPipeRow	plsql	covered	CREATE FUNCTION f RETURN NUMBER PIPELINED IS BEGIN PIPE ROW (1); RETURN; END;	direct parser fixture added by strict Loc audit	none	covered	keep_regression_guard
*nodes.PLSQLPragma	plsql	covered	DECLARE PRAGMA AUTONOMOUS_TRANSACTION; BEGIN NULL; END;	direct parser fixture added by strict Loc audit	none	covered	keep_regression_guard
*nodes.ExceptionHandler	plsql	covered	BEGIN RAISE; EXCEPTION WHEN OTHERS THEN NULL; END;	direct parser fixture added by strict Loc audit	none	covered	keep_regression_guard
